,Link,Anfitrion,Descripcion,Precio,Direccion,Comuna,Region,Titulo1,lat,long,Detalles,ScarpDate
0,https://www.facebook.com/marketplace/item/610713527534106/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Leo Jam,,400000.0,,La Serena,Coquimbo,ARRIENDO LOCAL COMERCIAL VILLA LA FLORIDA LA SERENA,-29.918518066406,-71.240844726562,,08-02-2023
0,https://www.facebook.com/marketplace/item/843573966933736/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Terapeuta Complementaria Mariela,"Atención!!!
Querida gente, nos queda hábil para arrendar, de manera diaria nuestro departamento en $... Ver más",35000.0,,La Serena,Coquimbo,ARRIENDO DIARIO Y MENSUAL,-29.934997558594,-71.284790039062,,08-02-2023
0,https://www.facebook.com/marketplace/item/1670256270035266/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Hierbas Catandog,"habitación con baño privado y entrada independiente. Cuenta con cama 2 plazas, TV por cable, refrige... Ver más",25000.0,,La Serena,Coquimbo,Arriendo diario habitación con baño y entrada independiente,-29.902038574219,-71.251831054688,,08-02-2023
0,https://www.facebook.com/marketplace/item/565173995133207/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Francisco Díaz Jure,"Departamento ubicado en avenida del mar frente al faro equipado para dos personas,cuenta con estacio... Ver más",50000.0,,La Serena,Coquimbo,Arriendo departamentos por días/mínimo tres noches,-29.902038574219,-71.251831054688,,08-02-2023
0,https://www.facebook.com/marketplace/item/779954393235075/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Gina Paola,"Confortable departamento en Condominio privado, acceso controlado las 24 hrs. 

-1 Dormitorio princi... Ver más",45000.0,,Coquimbo,Coquimbo,Arriendo Departamento en Coquimbo $45.000 por noche.,-29.962463378906,-71.339721679688,,08-02-2023
0,https://www.facebook.com/marketplace/item/1305968143579477/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Cabañas Damaris Totoralillo,Arriendo de cabañas en totoralilllo capacidad 6 a 7 personas 3 dormitorios 1 baño directv básico agu... Ver más,,,Coquimbo,Coquimbo,Cabañas damaris totoralillo,-30.061340332031,-71.361694335938,,08-02-2023
0,https://www.facebook.com/marketplace/item/1151380988825254/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Claudia Rebolledo,"Casa de 2 pisos , 3 dormitorios, 2 baños, habitación adicional en patio trasero, estacionamiento par... Ver más",60000.0,,La Serena,Coquimbo,Arriendo casa a turistas por día,-29.902038574219,-71.251831054688,,08-02-2023
0,https://www.facebook.com/marketplace/item/1209093749933755/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Paticita Joyas,"Capacidad de 8 personas 
3 dormitorios 
Estacionamiento ",1111111111.0,,Coquimbo,Coquimbo,Arriendo casa frente a la Playa de Tongoy,-29.956970214844,-71.295776367188,,08-02-2023
0,https://www.facebook.com/marketplace/item/833791331183337/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Cristina Veliz,"Se arrienda casa para Turistas en Guanaqueros por noches, para 6 y 8 personas completamente equipada... Ver más",65000.0,,Coquimbo,Coquimbo,Guanaqueros Arriendo casas a turistas Por noche,-29.951477050781,-71.339721679688,,08-02-2023
0,https://www.facebook.com/marketplace/item/1835389726829494/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8562c8d0-a6de-47e6-ac4b-32bf8862beee,Pamela Candia Ortiz,Arriendo linda pieza y baño privado a estudiante dama en depto compartido de 3 dormitorios y 2 baños... Ver más,210000.0,,Coquimbo,Coquimbo,Arriendo pieza estudiante baño privado Coquimbo,-29.951477050781,-71.339721679688,,08-02-2023
